default_status,cash,accounts_receivable,inventory,total_current_assets,fixed_assets,total_non_current_assets,total_assets,short_term_debt,accounts_payable,total_non_current_liabilities,total_equity,report_period,year,month,revenue,cost_of_sales,finance_expense,asset_impairment_loss,operating_profit,total_profit,net_profit,default_year,default_month,impairment_ratio,net_profit_margin,company_id
0,16152034628,850779336,211444619.1,57698474645,1464257918,15315349679,73013824324,986068317.7,1079596218,40032716809,24286274592,1,2020,12,6379818821,5223368140,214067960.1,295592214.2,2176272069,2168357349,1688753367,2099,12,0.012171163,0.264702402,COMPANY_0021
0,17936015702,1124906483,216511080.1,63567694242,1448406281,17456698363,81024392606,2126511200,809257772.2,37912861593,28094187662,1,2021,6,3806696500,2082872185,325697984.6,30785521.9,1135477088,1149217349,874723501.5,2099,12,0.001095797,0.229785459,COMPANY_0022
0,20302406150,974313577.3,222970826,67599280799,1445005617,22943193514,90542474313,2073131326,1057532484,46996707953,29550017454,1,2021,12,3815372612,3146328899,110825175.5,105802556.4,2484933087,2502934247,1937780319,2099,12,0.003580457,0.507887569,COMPANY_0023
0,21363340440,1333530471,295086216.1,72484703037,1456819756,24151502242,96636205279,2122903326,814684604.2,47593741992,33996611467,1,2022,6,3820715367,2031641590,359424821.9,0,1354520119,1327613022,1139915827,2099,12,0,0.298351413,COMPANY_0024
0,1615888610,0,0,3288773809,172298802,15313529602,18602303411,1400000000,931200.52,2308360104,13820097457,2,2022,9,40340773.55,0,78110623.3,0,354054055,324054055,327073766.8,2099,12,0,8.107771319,COMPANY_0025
0,19069671153,949254264.8,387254624.9,68930278542,1446521960,29953833399,98884111941,2523051074,902748616.4,47499413127,35418162864,1,2022,12,4263695914,3484147832,118771110.3,-10109786.91,2299967898,2268812766,1931208081,2099,12,-0.000285441,0.452942264,COMPANY_0026
0,1244199436,0,0,2559208129,168821613,17372128609,19931336739,2700000000,1172027.36,3869799507,14283437849,2,2023,3,13057930.56,0,30446121.79,0,163615132.5,163615132.5,161181254.5,2099,12,0,12.34355274,COMPANY_0027
0,16911664130,911319800,452740579.4,69575844380,1468212055,37110098625,1.06686E+11,3120502581,788842881.6,48165419105,37063147869,1,2023,9,6763153052,4023457618,627663701.9,-32719725.23,1922439494,1924502661,1672414472,2099,12,-0.00088281,0.247283251,COMPANY_0028
0,682128465.1,808502687.1,1244087236,4362872764,230051812.4,664373947.1,5027246711,1041450000,0,3672953921,1225127227,1,2016,3,1200272241,1096095202,16976595.85,0,25090096.6,25163092.1,20499933.71,2099,12,0,0.017079403,COMPANY_0029
0,419061504.1,969773430.1,1527482965,4651500766,224160537.3,662304850,5313805616,818000000,1498255.69,3882598420,1276371277,1,2016,6,2790026539,2573726644,32322313.24,0,58910114.49,58803339.15,48847060.01,2099,12,0,0.01750774,COMPANY_0030
0,562092577.9,868056853.5,1395774632,4413946960,217993744.2,655731123.1,5069678083,808000000,1188650.9,3634964610,1279773436,1,2016,9,3811096513,3489548301,51562313.24,0,83100029.24,83103253.9,64296161.72,2099,12,0,0.016870778,COMPANY_0031
0,874312332.6,1007307819,1640473605,5383563482,345227232.4,665050608.3,6048614091,938000000,1076957.47,4316057328,1516546916,1,2016,12,6082720448,5457934724,59070816.89,11315.62,342175554,347575984.4,281180977.1,2099,12,7.46144E-06,0.046226188,COMPANY_0032
0,811061560.3,954335173.5,1631333254,5435572815,370997038.5,767826948.3,6203399763,983000000,2033323.31,4158630182,1569083815,1,2017,3,1808963269,1618478192,12471354.67,0,77365579.21,78147060.49,74520014.73,2099,12,0,0.041194874,COMPANY_0033
0,1358275421,1198851220,1870831333,6570917848,376963346.9,1044077307,7614995155,932916800,3338836.25,4549026814,1946960521,1,2017,6,1542643210,1342618974,38454831.23,0,134657571.5,135689613.8,111778632.1,2099,12,0,0.072459161,COMPANY_0034
